store_id,item_id,revenue_proxy,rn
WI_1,FOODS_3_263,18624.339860916138,8
WI_1,HOUSEHOLD_1_272,18448.320489883423,9
WI_1,HOUSEHOLD_1_055,17833.650018692017,10
WI_1,HOBBIES_1_373,15750.400285720825,11
WI_1,FOODS_2_052,14792.880149841309,12
WI_1,HOUSEHOLD_1_051,14693.440189361572,13
WI_1,HOBBIES_1_251,12816.449904441833,14
WI_1,FOODS_2_131,12536.500014781952,15
WI_1,HOUSEHOLD_1_100,11596.159729480743,16
WI_1,FOODS_3_501,11226.64008039236,17
WI_1,HOUSEHOLD_1_376,11175.610056400299,18
WI_1,HOUSEHOLD_1_537,11114.560172080994,19
WI_1,HOBBIES_1_160,11091.35954284668,20
WI_2,FOODS_1_096,222650.51859521866,1
WI_2,HOUSEHOLD_1_110,101025.0596215725,2
WI_2,FOODS_3_154,66510.62042570114,3
WI_2,FOODS_2_276,39576.56012964249,4
WI_2,FOODS_1_004,34075.33985590935,5
WI_2,FOODS_2_322,30424.68029308319,6
WI_2,HOBBIES_1_108,28683.099069595337,7
WI_2,FOODS_3_503,28640.72034597397,8
WI_2,FOODS_2_293,23798.799989700317,9
WI_2,HOUSEHOLD_1_370,22543.95996284485,10
WI_2,FOODS_2_093,19305.819953918457,11
WI_2,FOODS_3_672,19129.63016796112,12
WI_2,FOODS_3_526,18513.000178337097,13
WI_2,HOUSEHOLD_1_055,17981.859964609146,14
WI_2,FOODS_1_187,17762.37924003601,15
WI_2,FOODS_3_124,17594.180186271667,16
WI_2,FOODS_2_117,17576.74990081787,17
WI_2,FOODS_3_399,17373.979986667633,18
WI_2,HOUSEHOLD_1_465,17352.100363254547,19
WI_2,HOUSEHOLD_1_162,17009.719524383545,20
WI_3,FOODS_3_120,216012.48082733154,1
WI_3,FOODS_3_318,69086.93978869915,2
WI_3,FOODS_3_469,66629.15942382812,3
WI_3,FOODS_3_252,56226.18098151684,4
WI_3,FOODS_2_183,54714.449310302734,5
WI_3,HOUSEHOLD_1_366,41404.12026500702,6
WI_3,FOODS_3_376,36380.0,7
WI_3,FOODS_3_435,36029.859907746315,8
WI_3,HOUSEHOLD_1_409,33312.0003759861,9
WI_3,FOODS_2_194,27809.339936733246,10
WI_3,HOUSEHOLD_1_344,27689.569940567017,11
WI_3,FOODS_3_635,27592.43009376526,12
WI_3,FOODS_2_293,17855.33997130394,13
WI_3,HOUSEHOLD_1_191,17560.88035106659,14
WI_3,FOODS_3_697,17052.140079259872,15
WI_3,FOODS_2_019,16638.800033569336,16
WI_3,FOODS_3_562,16493.760063171387,17
WI_3,FOODS_2_256,14851.830110549927,18
WI_3,FOODS_3_369,14013.300058364868,19
WI_3,FOODS_2_212,13504.209973335266,20
